"Brand","Label","Type","User Proof","Status","Special Designation","Size","COO","Purchase Date","Store","Price","Valuation","Bottle Rating","Willing To Trade","Location"
"Angel's Envy","Rye","rye","100","OPEN_75_PCT","","750ml","United States","2024-01-07","Costco","75.00","59.36","","","Home Bar"
"Ardbeg","Uigeadail","single malt","108.4","OPEN_100_PCT","","750ml","Scotland","2024-03-19","","65.00","80.02","","","Home Bar Bottom shelf"
"Bardstown Bourbon Company","Fusion Series","bourbon","94.9","OPEN_75_PCT","","750ml","United States","2022-01-06","Texas Wine & Spirits ","70.00","44.06","","","Home Bar Second Shelf"
"Barrel King Knighted","Special Series","bourbon","114","OPEN_75_PCT","","750ml","United States","2023-08-07","Bourbon Outfitters ","120.00","93.18","","","Home Bar"
"Barrell","Bourbon Cask Strength Batch 027","bourbon","115.7","NEW","","750ml","United States","2020-01-06","BevMo","80.00","80.85","","","Home Bar"
"Barrell","Bourbon Vantage","bourbon","115.88","OPEN_75_PCT","","750ml","United States","2024-01-07","Costco","89.00","57.11","","","Home Bar"
"Barrell","Seagrass","rye","119.12","OPEN_50_PCT","","750ml","United States","2021-01-06","Costco","80.00","33.18","","","Home Bar"
"Basil Hayden","Kentucky Straight Bourbon","bourbon","80","OPEN_100_PCT","","750ml","United States","2021-06-29","Vons","40.00","36.17","","","Home Bar Second Shelf"
"Basil Hayden","Toast","bourbon","80","NEW","","750ml","United States","2022-08-28","Total Wine","45.00","53.77","","","Home Bar Second Shelf"
"Blackened","Whiskey","whiskey","90","OPEN_25_PCT","Batch 110","750ml","United States","2022-01-06","Vons","40.00","7.42","","","Home Bar Second Shelf"
"Blanton's","Single Barrel","bourbon","93","EMPTY","Orange Hills Liquor Store Pick","750ml","United States","2023-12-07","Orange Hills Liquor ","120.00","0","","","Home Bar"
"Blanton's","Single Barrel","bourbon","93","NEW","Orange Hills Liquor Store Pick","750ml","United States","2023-12-07","Orange Hills Liquor ","120.00","83.61","","","Storage"
"Blanton's","Single Barrel","bourbon","93","OPEN_100_PCT","","750ml","United States","2024-10-10","Costco","65.00","75.25","","","Storage"
"Blanton's","Single Barrel","bourbon","93","EMPTY","","750ml","United States","2024-10-10","Costco","65.00","0","","","Storage"
"Blanton's","Single Barrel","bourbon","93","EMPTY","","750ml","United States","2024-12-21","Vons","63.00","0","","","Storage"
"Blanton's","Single Barrel","bourbon","93","EMPTY","","750ml","United States","2024-12-21","Vons","63.00","0","","","Storage"
"Blue Run","Emerald","rye","116.7","OPEN_75_PCT","","750ml","United States","2022-01-06","Texas Wine & Spirits ","120.00","83.77","","","Home Bar Second Shelf"
"Blue Run","Reflection 1 Bourbon Whiskey","bourbon","95","OPEN_50_PCT","","750ml","United States","2022-04-13","Texas Wine & Spirits ","120.00","37.98","","","Home Bar Second Shelf"
"Blue Run Chosen","Kentucky Straight ","bourbon","131.8","OPEN_75_PCT","Bourbon Junkies Pick","750ml","United States","2024-01-07","Bourbon Outfitters ","200.00","104.48","","","Home Bar Second Shelf"
"Blue run","Flight Series Bourbon Marrakech Market","bourbon","115.6","OPEN_75_PCT","","750ml","United States","2023-05-14","Texas Wine & Spirits ","120.00","98.31","","","Home Bar Second Shelf"
"Broken Barrel Whiskey Co.","California Oak","bourbon","95","OPEN_75_PCT","","750ml","United States","2022-01-06","Broken Barrel Distillery ","30.00","25.78","","","Home Bar"
"Broken Barrel Whiskey Co.","Cask strength Whiskey finished with Port Staves","bourbon","116","OPEN_25_PCT","","750ml","United States","2021-01-06","Flaviar","65.00","8.08","","","Home Bar"
"Broken Barrel Whiskey Co.","Heresy- Kentucky Straight Rye Whiskey","bourbon","105","OPEN_75_PCT","","750ml","United States","2022-01-06","Broken Barrel Distillery ","30.00","18.19","","","Home Bar"
"Broken Barrel Whiskey Co.","Reserve Oak Series- Kentucky Straight Bourbon Whiskey  Finished with Peach Brandy Staves","bourbon","115","OPEN_50_PCT","","750ml","United States","2022-01-06","Broken Barrel Distillery ","65.00","22.66","","","Home Bar"
"Buffalo Trace ","Bourbon ","bourbon","90","EMPTY","","750ml","United States","2018-01-06","Vons","29.00","0","","","Home Bar"
"Buffalo Trace ","Bourbon ","bourbon","90","NEW","","750ml","United States","2025-10-01","Vons","23.00","31.1","","","Home Bar"
"Calumet Farm","15 Year Old","bourbon","105","OPEN_50_PCT","","750ml","United States","2022-01-06","Costco","120.00","49.37","","","Home Bar"
"Calumet Farm","16 Year Old","bourbon","106","OPEN_50_PCT","","750ml","United States","2023-04-15","Bourbon Outfitters ","130.00","56.72","","","Home Bar"
"Colonel E.H. Taylor","Single Barrel","bourbon","100","NEW","","750ml","United States","2024-08-28","Vons","75.00","112.19","","","Home Bar Bottom shelf"
"Colonel E.H. Taylor","Single Barrel","bourbon","100","NEW","","750ml","United States","2024-10-10","Vons","75.00","112.19","","","Home Bar"
